Date;Loading_Length;Cycle_Days;Feed_Amount;Feed_Dry;Bulking_Agent;Bulking_Dry;Water_Added;pH;Temperature;Reactor_Temperature;Harvest_Mass;Harvest_Dry;Frass_Mass;Frass_Dry;
8-Sep-2023;0;0;15,00;4,82;0,20;0,11;;;;;;0,00;0,00;;
12-Sep-2023;4;4;15,00;4,82;0,20;0,11;;;;;;0,00;0,00;;
15-Sep-2023;3;7;15,00;4,82;0,20;0,11;;;;;;0,35;0,13;;
20-Sep-2023;5;12;13,00;4,17;0,20;0,11;;;;;;1,62;0,60;;
25-Sep-2023;5;17;13,00;4,17;0,20;0,11;;;;;;0,96;0,35;;
28-Sep-2023;3;20;14,00;4,49;0,20;0,11;;;;;;0,38;0,14;;
2-Oct-2023;4;24;12,00;3,85;0,20;0,11;;;;;;0,33;0,12;;
6-Oct-2023;4;28;12,00;3,85;0,20;0,11;;;;;;0,09;0,03;;
10-Oct-2023;4;32;14,00;4,49;0,20;0,11;;;;;;0,06;0,02;;
13-Oct-2023;3;35;10,61;3,41;0,20;0,11;;;;;;0,09;0,03;;
18-Oct-2023;5;40;9,91;3,18;0,20;0,11;;;;;;0,50;0,18;;
23-Oct-2023;5;45;12,40;3,98;0,20;0,11;;;;;;0,00;0,00;;
26-Oct-2023;3;48;12,70;4,08;0,20;0,11;;;;;;0,00;0,00;;
30-Oct-2023;4;52;13,20;4,24;0,20;0,11;;;;;;0,01;0,00;;
3-Nov-2023;4;56;12,04;3,86;0,20;0,11;;;;;;0,01;0,00;;
7-Nov-2023;4;60;11,58;3,72;0,20;0,11;;;;;;0,80;0,29;;
9-Nov-2023;2;62;9,92;3,18;0,20;0,11;;;;;;1,25;0,46;;
15-Nov-2023;6;68;13,02;4,18;0,20;0,11;;;;;;2,12;0,78;;
20-Nov-2023;5;73;10,11;3,25;0,20;0,11;;;;;;3,41;1,26;;
22-Nov-2023;2;75;13,04;4,19;0,50;0,28;;;;;;2,90;1,07;;
27-Nov-2023;5;80;11,64;3,74;0,50;0,28;;;;;;0,62;0,23;;
1-Dec-2023;4;84;11,84;3,80;0,50;0,28;;;;;;0,34;0,12;;
5-Dec-2023;4;88;10,94;3,51;0,50;0,28;;;;;;0,20;0,07;;
8-Dec-2023;3;91;11,81;3,79;0,50;0,28;;;;;;0,09;0,03;;
12-Dec-2023;4;95;10,98;3,53;0,50;0,28;;;;;;0,04;0,01;;
18-Dec-2023;6;101;11,15;3,58;0,50;0,28;;;;;;0,01;0,00;;
